Title,Date,Summary
Kashmir Security Forces Celebrate Republic Day Amid Bone-Chilling Cold,"Press Trust of India   | Wednesday January 26, 2022, Srinagar","Braving inclement weather and bone-chilling cold, contingents of police and paramilitary forces on Wednesday took part in the 73rd Republic Day celebrations amidst tight security arrangements, officials said."
Chhattisgarh Allows Government Employees To Work 5 Days A Week,"Asian News International   | Wednesday January 26, 2022, Bastar (Chhattisgarh)","On the occasion of 73rd Republic Day, Chhattisgarh Chief Minister Bhupesh Baghel took to Twitter to announce major policy decisions including a five-day working week for government employees."
Budget 2022: Parliamentary Affairs Minister Calls For All-Party Meet On Jan 31,"Asian News International   | Wednesday January 26, 2022, New Delhi","Parliamentary Affairs Minister Prahlad Joshi has convened an all-party meeting on January 31, which will be held virtually, ahead of the Budget on February 1."
"Watch: Stunning R-Day Parade Flypast, Recorded In-Flight Video Is A First","Edited by Akhil Kumar  | Wednesday January 26, 2022, New Delhi",India is celebrating 73rd Republic Day today with the annual parade at Delhi's Rajpath showcasing its military prowess and cultural pageantry. This year's special celebrations are being observed as 'Azadi ka Amrit Mahotsav' across the country.
"PM's R-Day Attire Has Mark Of Uttarakhand, Manipur. Both Vote In Days","Reported by Neeta Sharma, Edited by Deepshikha Ghosh  | Wednesday January 26, 2022, New Delhi",Prime Minister Narendra Modi today wore a traditional cap from Uttarakhand and a stole from Manipur for the grand parade to celebrate India's 73rd Republic Day.
Gujarat Commemorates 1922 British Massacre Of Tribals In R-Day Tableau,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","A century-old, long-forgotten uprising in Bhil-dominated Sabarkantha, one that was quelled by the British after the horrific massacre of 1,200 tribals, was showcased by Gujarat during today's Republic Day parade."
Republic Day Parade's 1st Marching Contingent World's Only Horse Cavalry Regiment,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","Horse-mounted soldiers of the Indian Army's 61 Cavalry Regiment, the only active horsed cavalry unit in the world currently, was the first marching contingent at the Republic Day parade today."
Assembly Elections 2022 LIVE Updates: RPN Singh Joins BJP Ahead Of UP Assembly Elections,"NDTV News Desk   | Wednesday January 26, 2022, New Delhi","RPN Singh, one of the Congress's most prominent leaders in Uttar Pradesh, quit the party on Tuesday and crossed over to the BJP ahead of next month's election in the state."
R-Day Parade: Navy Tableau Shows 1946 Uprising; Woman Officer Leads Contingent,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","The Indian Navy's tableau at the Republic Day parade on Wednesday depicted the 1946 naval uprising, which contributed to the country's Independence movement, and its marching contingent was led by a woman officer."
India's 1st Woman Rafale Pilot Shivani Singh In R-Day Air Force Tableau,"Press Trust of India   | Wednesday January 26, 2022, New Delhi",The country's first woman Rafale fighter jet pilot Shivangi Singh was part of the Indian Air Force tableau at the Republic Day parade on Wednesday. She is only the second woman fighter jet pilot to be part of the IAF tableau.
Centurion Tank Used In 1971 Indo-Pak War Showcased At Republic Day Parade,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","The Indian Army, at the Republic Day parade today, showcased the Centurion tank, PT-76 tank, 75/24 Pack howitzer and OT-62 TOPAZ armoured personnel carrier that played a major role in defeating Pakistan in the 1971 war."
Rahul Gandhi Shares Eternal Flame Photo In Dig At Centre On Republic Day,"NDTV News Desk   | Wednesday January 26, 2022, New Delhi","Rahul Gandhi's Republic Day greetings on Twitter highlighted the Amar Jawan Jyoti or eternal flame at India Gate, which has now been merged with the one at the National War Memorial."
"""Padma Shri More Deserving For Junior Artiste"": Singer, 90, Rejects Award","Edited by Akhil Kumar  | Wednesday January 26, 2022, New Delhi","Ms Mukherjee's daughter Soumi Sengupta said that her mother told the senior official who called from Delhi that she was not willing to be named as a Padma Shri recipient and felt ""insulted"" at her being offered the award at her age."
President Posthumously Awards Ashok Chakra To J&K Cop Killed In Action,"Asian News International   | Wednesday January 26, 2022, New Delhi",President Ram Nath Kovind today posthumously awarded Ashok Chakra to Assistant Sub Inspector Babu Ram of the Jammu and Kashmir Police at the Republic Day parade.
"""Ironic Congress Doesn't Need Him"": Kapil Sibal On Ghulam Nabi Azad's Padma Award","Press Trust of India   | Wednesday January 26, 2022, New Delhi","Senior Congress leader Kapil Sibal took a jibe at his party over Ghulam Nabi Azad being conferred with Padma Bhushan, saying it was ironic that the Congress does not need his services when the nation recognises his contributions to public life."
"Pics: On Republic Day, Border Police Unfurls National Flag At 15,000 Feet","NDTV News Desk   | Wednesday January 26, 2022, New Delhi","As India celebrates its 73rd Republic Day, the Indo-Tibetan Border Police (ITBP) personnel on Wednesday unfurled the national flag at 15000 feet in minus 40-degree Celsius temperature at snow-capped Ladakh borders."
"Pics: 15,000 Feet, -40 Degrees - Border Force's Republic Day Celebrations","Reported by Neeta Sharma | Wednesday January 26, 2022, New Delhi","As the country celebrated the 73rd Republic Day with a grand parade and flypast in the national capital's Rajpath, personnel of the Indo-Tibetan Border Police (ITBP) guarding the country's snow-clad remote boundaries joined in."
Railway Suspends Recruitment Exams After Job Aspirants Protest,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","The Indian Railways have decided to suspend its NTPC and Level 1 tests after violent protests by job aspirants over the selection process of its recruitment exams, a spokesperson for the national transporter said today."
"73rd R-Day Parade Stars Many Firsts, Flypast Is Grand Finale: 10 Points","Edited by NDTV Newsdesk  | Wednesday January 26, 2022, New Delhi",India celebrated its 73rd Republic Day today with the iconic parade at Delhi's Rajpath showcasing its military prowess and cultural pageantry. A flypast by 75 aircraft and helicopters was the highlight of this year's parade.
"2.85 Lakh New Covid Cases, India's Positivity Rate 16.1%: 5 Facts","Reported by Parimal Kumar | Wednesday January 26, 2022, New Delhi","India has recorded 2.85 lakh Covid cases over the past 24 hours, 11 per cent higher than yesterday, with a marginal rise in the positivity rate as compared to yesterday."
"Republic Day 2022: Amid COVID-19 Pandemic, Here's How To Make January 26 Memorable At Home","Edited by NDTV Newsdesk  | Wednesday January 26, 2022","Instead of venturing out and exposing yourself to infection risk, there’s a lot you can do at home to celebrate Republic Day."
"RPN Singh ""Colluded With BJP"": Jharkhand Congress Leaders After His Exit","Asian News International   | Wednesday January 26, 2022, Ranchi (Jharkhand)","Following former Union Minister RPN Singh's exit from the Congress and joining the Bharatiya Janata Party (BJP), Jharkhand Congress MLA from Barkagaon Amba Prasad claimed that Singh had colluded with BJP for more than a year to overthrow the Congress"
"""Fabricated"": Delhi Government On Homeless Deaths Claims Due To Cold","Asian News International   | Wednesday January 26, 2022, New Delhi","The Delhi government has denied the claims of an NGO, that 145 homeless people have died in January this year due to cold and lack of proper shelter, calling the data 'fake' and 'fabricated'."
"73rd Republic Day Today, Many Firsts In Grand Parade","Edited by NDTV Newsdesk  | Wednesday January 26, 2022, New Delhi",India's military might and cultural diversity will be showcased today as the country celebrates its 73rd Republic Day.
India Asks Citizens In Ukraine To Register Selves As Russia Threat Grows,"Asian News International   | Wednesday January 26, 2022, Kyiv","Amid the ongoing military buildup at the Russian-Ukrainian border, the Indian embassy in Kyiv has asked its citizens residing in Ukraine to register themselves in a bid to disseminate information in a swift manner."
"Arunachal, Home Ministry Get Rights Notice On Tribal Body's Complaint","Written by Ratnadip Choudhury  | Wednesday January 26, 2022, Guwahati",The Union Home Ministry and Arunachal Pradesh government have been asked for a report within six weeks by the National Human Rights Commission (NHRC) against the alleged racial profiling of members of Chakma and Hajongs tribes.
Republic Day 2022 Live: India Celebrates 73rd Republic Day With Iconic Parade,"NDTV News Desk   | Wednesday January 26, 2022, New Delhi",India celebrated its 73rd Republic Day today with the iconic parade at Delhi's Rajpath showcasing its military prowess and cultural pageantry. A flypast by 75 aircraft and helicopters was the highlight of this year's parade.
US Would Welcome India's Role In Russia-Ukraine Conflict: White House,"Asian News International   | Wednesday January 26, 2022, Washington","The United States would welcome India's role in de-escalating the mounting tensions between Russia and Ukraine, a White House spokesperson said on Tuesday."
"Coronavirus LIVE Updates: India Reports 2.85 Lakh New Covid Cases, 665 Related Deaths","NDTV Newsdesk   | Wednesday January 26, 2022, New Delhi","India recorded 2,85,914 new Covid cases today, 11.7 per cent higher than yesterday's 2.55 lakh figure. The total infection tally in India - the second worst-hit country after the US - has crossed 4 crore cases, according to the Union Health Ministry."
"Here Are Wishes, Quotes, SMS, Messages, WhatsApp and Facebook Status and Greetings For Republic Day 2022","Edited by NDTV Newsdesk  | Wednesday January 26, 2022",We have curated a list of messages and quotes that you can send to your loved ones on Republic Day.
Mumbai Terror Attack Perpetrators Continue To Enjoy Pak Patronage: India At UN,"Asian News International   | Wednesday January 26, 2022, New York","Underlining threat posed to civilians from terrorism, India on Tuesday said the perpetrators of the 2008 Mumbai terror attack continue to enjoy the patronage of Pakistan."
Case Registered Against Amazon Sellers Over Tricolour-Themed Products,"Press Trust of India   | Wednesday January 26, 2022, Bhopal","Police on Tuesday evening registered an FIR in Bhopal against unidentified sellers on e-commerce giant Amazon after it emerged that some products, including shoes, featuring images of the Indian flag were being sold on its platform."
Ghulam Nabi Azad Slams Rumours Over Changes In His Twitter Profile,"Reported by Sunil Prabhu (With agencies) | Wednesday January 26, 2022, New Delhi","Congress leader Ghulam Nabi Azad has lashed out at reports that he had changed his Twitter bio after being awarded the Padma Bhushan, the country's third-highest civilian honour, and called it ""mischievous propaganda""."
Ghulam Nabi Azad Slams Rumours Over Changes In His Twitter Profile,"Reported by Sunil Prabhu (With agencies) | Wednesday January 26, 2022, New Delhi","Congress leader Ghulam Nabi Azad has lashed out at reports that he had changed his Twitter bio after being awarded the Padma Bhushan, the country's third-highest civilian honour, and called it ""mischievous propaganda""."
"""Partnership Rooted In Shared Responsibility"": US Greets India On Republic Day","Press Trust of India   | Wednesday January 26, 2022, Washington","The partnership between India and the United States is rooted in their shared responsibility to uphold democratic values, the White House said on Tuesday as it greeted the people of India on the occasion of the country's 73rd Republic Day."
BJP's Suvendu Adhikari Not On Bengal's Republic Day Event's Guest List,"Asian News International   | Wednesday January 26, 2022, Kolkata","Leader of Opposition in West Bengal Assembly, Suvendu Adhikari has not been invited by the state government for the Republic Day celebrations to be held at Red Road in the capital city of Kolkata."
"Google Celebrates India's 73rd Republic Day With ""Parade"" Doodle","NDTV Newsdesk   | Wednesday January 26, 2022, New Delhi",Google is celebrating India's 73rd Republic Day today with a doodle depicting elements from the Republic Day parade.
Punjab Assembly Polls: Congress Announces 23 More Candidates In 2nd List,"Press Trust of India   | Wednesday January 26, 2022, New Delhi","The Congress on Tuesday released its second list of 23 candidates for Punjab assembly elections, fielding former chief minister Harcharan Singh Brar's daughter-in-law Karan Brar from Muktsar."
"""We Lost..."": President Remembers Gen Bipin Rawat In Republic Day Address","Asian News International   | Wednesday January 26, 2022, New Delhi","President Ram Nath Kovind on Tuesday paid tributes to India's first Chief of Defence Staff General Bipin Rawat, who died in a helicopter crash last month and said he was ""one of bravest commanders of the country""."
"""Shared Details With China"": Union Minister Kiren Rijiju On Missing Arunachal Teen","Written by Ratnadip Choudhury  | Wednesday January 26, 2022, Guwahati","Union Law Minister Kiren Rijiju on Tuesday said the safe return of an Arunachal Pradesh teenager, who was reportedly kidnapped by China's People's Liberation Army (PLA) a week ago from Indian territory, is priority."
India Ranks 85th Among 180 Countries In Global Corruption Index: Report,"Press Trust of India   | Tuesday January 25, 2022, New Delhi","India's rank improved one place to 85 among 180 countries in a corruption perception index (CPI) of 2021, according to a new report by Transparency International which, however, raised concern over the country's democratic status."
"India Celebrates 73rd Republic Day, Iconic Parade To See Many Firsts","Asian News International   | Tuesday January 25, 2022, New Delhi","India's military might, cultural diversity and varied unique initiatives will be showcased as President Ram Nath Kovind leads the nation on Wednesday in celebrating the 73rd Republic Day."
What Adar Poonawalla Said On Father Getting Padma Bhushan,"Asian News International   | Tuesday January 25, 2022, New Delhi",Chief Executive Officer of the Serum Institute of India (SII) Adar Poonawalla on Tuesday congratulated the deserving individuals who will receive the Padma awards this year.
Gujarat's Statue Of Unity Crosses 75 Lakh Visitor-Mark,"Press Trust of India   | Tuesday January 25, 2022, Ahmedabad","The number of visitors to the iconic Statue of Unity near the Sardar Sarovar Dam in Gujarat's Narmada district has crossed the 75 lakh mark, a state government official said on Tuesday."
US Asks Its Citizens To Reconsider Travelling To India Due To COVID-19,"Press Trust of India   | Tuesday January 25, 2022, New Delhi",The US on Tuesday advised its citizens to reconsider any travel to India due to the current high level of COVID-19 cases in the country.
"""Azad, Not Ghulam"": Jairam Ramesh Shades Congress Colleague On Padma Award","Reported by Sunil Prabhu | Tuesday January 25, 2022, New Delhi",Senior Congress leader Ghulam Nabi Azad's name in the Padma lists announced on the eve of the 73rd Republic Day evoked mixed reactions from party colleagues this evening.
Priyanka Gandhi Vadra Slams Government Over Students' Protest In Bihar,"Asian News International   | Tuesday January 25, 2022, New Delhi","Congress leader Priyanka Gandhi Vadra on Tuesday slammed the National Democratic Alliance (NDA) government in Bihar, saying that a revolution will take place across the country against the oppression of youth and the arrogance of Bharatiya Janata Par"
Army Vice Chief Manoj Pande To Be Awarded Param Vishisht Seva Medal,"Asian News International   | Tuesday January 25, 2022, New Delhi","Army Vice Chief-designate Lieutenant General Manoj Pande, Lieutenant General YK Joshi, Lieutenant General KJS Dhillon and Lieutenant General Madhuri Kanitkar will be awarded Param Vishisht Seva Medal on the 73rd Republic Day."
"""No One Told Me"": CPM's Buddhadeb Bhattacharjee Rejects Padma Bhushan","Reported by Sunil Prabhu, Edited by Divyanshu Dutta Roy  | Tuesday January 25, 2022, New Delhi","Former West Bengal Chief Minister Buddhadeb Bhattacharjee on Tuesday said he was not aware that he had been named for the Padma Bhushan and he would reject it if it were so, in an extremely rare instance of a recipient turning down one of India's top"
"Drones, Snowmobile Help Army Patrol Border With Pakistan In Winters","Written by Nazir Masoodi , Edited by Sumana Nandy  | Tuesday January 25, 2022, Srinagar",Technology is now playing a crucial role in the Army's counter-infiltration grid along the Line of Control in Jammu and Kashmir. Drones and snow scooters have been added to the Army's arsenal for deployment in snowbound areas and difficult terrain.
1000 Dazzling Drones Light Up Rashtrapati Bhavan On Republic Day Eve,"Asian News International   | Tuesday January 25, 2022, New Delhi",Hundreds of drones made different formations on Tuesday evening at Rashtrapati Bhavan on the evening of 73rd Republic Day.
Wouldn't Want Netaji's Memory Hijacked For Communal Rivalry: Daughter,"Reported by Vishnu Som, Edited by Swati Bhasin  | Tuesday January 25, 2022, New Delhi","Two days after India celebrated Subhas Chandra Bose's 125th birth anniversary with Prime Minister Narendra Modi unveiling a giant hologram of his at Delhi's India Gate, his daughter on Tuesday said it was heartening to see the freedom fighter's value"
Wagah-Attari Border Like Ceremony To Start At 3 Rajasthan Posts: Border Force,"Press Trust of India   | Tuesday January 25, 2022, Jodhpur",Tourists visiting the Indo-Pak border districts Jaisalmer and Bikaner in Rajasthan will soon be able to watch the Wagha-Attari border like a beating retreat without the participation of Pakistani soldiers.
"Padma Awards For Opposition's Ghulam Nabi Azad, Buddhadeb Bhattacharjee","Reported by Arvind Gunasekar, Edited by Anindita Sanyal  | Tuesday January 25, 2022, New Delhi",Two key leaders of opposition parties -- senior Congress leader Ghulam Nabi Azad and CPM's former Bengal Chief Minister Buddhdeb Bhattacharjee  were on the list of the Padma awardees announced by the Centre on the eve of the Republic Day
Padma Awards 2022: Full List Of Recipients,"Edited by Sumana Nandy  | Tuesday January 25, 2022, New Delhi",The Home Ministry today announced the list of recipients of the Padma awards - one of the highest civilian awards of the country.
"Karnataka Records 41,400 New Covid Cases, Recoveries Exceed Infections","Press Trust of India   | Tuesday January 25, 2022, Bengaluru","After fresh infections dropped over the past two days, the number of discharges overtook new coronavirus cases in Karnataka on Tuesday, which further declined to 41,400, taking the tally to 36,05,508."
"Polarisation Suits Both BJP And Samajwadi, People Need Politics Of Another Kind: Priyanka Gandhi","Press Trust of India   | Tuesday January 25, 2022, New Delhi","Alleging that polarisation suits both the BJP and the SP to consolidate their vote bases in Uttar Pradesh, Congress leader Priyanka Gandhi Vadra on Tuesday said the ruling party may end up being the largest beneficiary of this divisive rhetoric."
"Padma Honours For Microsoft's Satya Nadella, Google's Sundar Pichai","Reported by Arvind Gunasekar, Edited by Swati Bhasin  | Tuesday January 25, 2022, New Delhi",Microsoft CEO Satya Nadella and Google's Sundar Pichai are among the 17 Padma Bhushan awardees.
"After RPN Singh's Exit From Congress, Rahul Gandhi Unfollows Him On Twitter","Asian News International   | Tuesday January 25, 2022, New Delhi","Hours after former Union Minister RPN Singh joined BJP after quitting Congress, Rahul Gandhi on Tuesday unfollowed him on Twitter."
What Is The Difficulty In Making Hindi 3rd Language In Educational Institutions: High Court,"Press Trust of India   | Tuesday January 25, 2022, Chennai","Wondering as to what is the difficulty in making Hindi the third language in educational institutions, the first bench of the Madras High Court said on Tuesday that if one doesn't learn Hindi, it would be very difficult to secure a job in North India"
"""Will Quit Politics If Charanjit Channi..."": Akali Dal Head Sukhbir Badal","Press Trust of India   | Tuesday January 25, 2022, Chandigarh",SAD chief Sukhbir Singh Badal on Tuesday said he will quit politics if the Charanjit Singh Channi government brings any proof against his brother-in-law and Akali leader Bikram Singh Majithia who has been booked in an NDPS case.
"Gen Bipin Rawat, Vaccine Makers Named For Padma Awards","Edited by Divyanshu Dutta Roy  | Tuesday January 25, 2022, New Delhi","Padma Vibhushan For Gen Bipin Rawat, Congress's Ghulam Nabi Azad Gets Padma Bhushan"
Republic Day: 939 Police Medals Including 189 For Gallantry Declared,"Press Trust of India   | Tuesday January 25, 2022, New Delhi","The government on Tuesday announced a total of 939 service medals, including 189 for gallantry, for personnel of various central and state police forces on the eve of Republic Day."
"Watch: For ""Grandest Ever"" R-Day Flypast, 75 Jets, 'Vinash' Formation","Edited by Sumana Nandy  | Tuesday January 25, 2022, New Delhi",The Indian Air Force today released a series of behind-the-scenes videos of pilots preparing for the grandiose 75-jet flypast over Rajpath in Delhi tomorrow on Republic Day. The day marks the anniversary of India officially adopting the Constitution.
"""What Legacy?"": Manohar Parrikar Son's Rival Challenges Goa Seat Claim","Edited by Divyanshu Dutta Roy  | Tuesday January 25, 2022, Panjim","Atanasio 'Babush' Monserrate, the controversial BJP legislator whose announcement as the party's candidate from Goa's Panjim triggered a resignation by its stalwart Manohar Parrikar's son Utpal Parrikar, on Tuesday said that he was the more deserving"
4 Freeze To Death On US Border: Gujarat Cops Probing Local Agents' Role,"Press Trust of India   | Tuesday January 25, 2022, Ahmedabad","The Gujarat Criminal Investigation Department (CID) is probing whether the four members of a family from the state who froze to death while trying to cross into the US illegally from Canada had taken the help of local agents, an official said."
"UP Deputy Chief Minister's ""Samaptwadi Party"" Jibe At Akhilesh Yadav","Asian News International   | Tuesday January 25, 2022, New Delhi","Uttar Pradesh Deputy Chief Minister Keshav Prasad Maurya on Tuesday took a jibe at Samajwadi Party stating that it will become the ""Samaptwadi Party"" on March 10, the day when the votes cast in the assembly polls will be counted."
"UP Polls: Man Files Nomination Wearing PPE Kit, Holding Sanitiser","Press Trust of India   | Tuesday January 25, 2022, Shahjahanpur",An Assembly polls candidate in Shahjahanpur on Tuesday filed his nomination papers wearing a PPE kit and holding a sanitiser and thermal scanner in hands.
"Sex In Marriage Can't Be Called Rape... At Worst Abuse, Delhi Court Told","Press Trust of India   | Tuesday January 25, 2022, New Delhi","Sexual intercourse between husband and wife cannot be labelled rape and at worst such an act of wrongdoing can be called sexual abuse, an intervenor said in the Delhi High Court on Tuesday."
India Has Shown Unmatched Resolve Against Coronavirus: President Kovind,"Asian News International   | Tuesday January 25, 2022, New Delhi","Noting that COVID-19 has been an extraordinary challenge to humankind, President Ram Nath Kovind said on Tuesday that tackling the pandemic was bound to be more difficult in India due to high population density"
"Uttarakhand Polls: Akhilesh Yadav, Jaya Bachchan Among Samajwadi Party's Star Campaigners","Asian News International   | Tuesday January 25, 2022, New Delhi",The Samajwadi Party (SP) on Tuesday announced the list of 15 star campaigners for the upcoming Uttarakhand Assembly polls.
Space Agency ISRO's New Chief Discusses 'Gaganyaan' Programme With Union Minister,"Press Trust of India   | Tuesday January 25, 2022, New Delhi",Newly appointed ISRO chairman S Somanath called on Union minister Jitendra Singh on Tuesday and discussed the status of 'Gaganyaan' as well as other space missions lined up for the near future.
Free Power To Households Consuming 60 Units Per Month In Himachal Pradesh,"Press Trust of India   | Tuesday January 25, 2022, Shimla",Himachal Pradesh Chief Minister Jai Ram Thakur announced free electricity to households who consume up to 60 units per month and slashed tariff for some other categories on 52nd Statehood Day on Tuesday.
"A Gujarat Village, A Family That Froze To Death And The American Dream","Press Trust of India   | Tuesday January 25, 2022, Dingucha (Gujarat)",Lack of quality job opportunities is driving residents of this village in Gujarat to pursue their dream of migrating to the US and other nations for a better future and that urge is so strong that some of them do not mind taking the illegal route.
President Ram Nath Kovind Addresses Nation On Eve Of 73rd Republic Day: Highlights,"Edited by Sumana Nandy  | Tuesday January 25, 2022, New Delhi","President Ram Nath Kovind is addressing the nation on the eve of the 73rd Republic Day. Conveying his heartfelt wishes, President Kovind calls it ""a celebration of the pride of Indianness that binds us all together""."
Trinamool MLA Escapes Unhurt As Mini Truck Hits Convoy Cars: Bengal Police,"Press Trust of India   | Tuesday January 25, 2022, Behrampur, West Bengal","Trinamool Congress MLA Jakir Hossain had a close shave on Tuesday when two of the vehicles of his convoy were hit by a mini truck in West Bengal's Murshidabad district, a police officer said."
"Girl, 8, Raped By Underage Boys In Delhi Fighting For Her Life In Hospital","Press Trust of India   | Tuesday January 25, 2022, New Delhi","An eight-year-old girl who was allegedly raped by two underage boys in northeast Delhi's Shastri Park area is fighting for her life with critical injuries, the police said Tuesday. According to the police, they have arrested the two boys in the case."
Sri Lankan Court Orders Release Of 56 Indian Fishermen,"Press Trust of India   | Tuesday January 25, 2022, Colombo","A Sri Lankan court ordered the release of 56 Indian fishermen who were detained for allegedly fishing in the island nation's territorial waters, a verdict that sets free all the remaining Indian fisherfolk languishing in the country's jails."
"BJP Leadership ""Cutting Him To Size"": Priyanka Gandhi On Yogi Adityanath","Press Trust of India   | Tuesday January 25, 2022, New Delhi","Days after BJP fielded Chief Minister Yogi Adityanath from Gorakhpur for UP assembly polls, Congress leader Priyanka Gandhi Vadra on Tuesday said the move indicated that the BJP leadership is attempting to ""cut him to size""."
"Delhi Positivity Rate Drops Slightly To 10%, Cases Rise By 4.7% To 6,028","Edited by Swati Bhasin  | Tuesday January 25, 2022, New Delhi","Delhi's positivity rate has dropped to 10.55 per cent from 11.79 per cent, the government data this evening showed. The cases have risen by 4.7 per cent to 6,028."
Madras High Court Bench Deletes Remarks Made By Single Judge Against Actor Vijay,"Press Trust of India   | Tuesday January 25, 2022, Chennai",A division bench of the Madras High Court on Tuesday expunged the adverse remarks made by a single judge against top Tamil actor Vijay on the issue of entry tax over the import of a luxury car from England in 2012.
Decommissioned Naval Ship INS Khukri To Be Developed As A Museum,"Press Trust of India   | Tuesday January 25, 2022, New Delhi","Decommissioned Indian naval ship (INS) Khukri will be handed over to the Diu administration on Wednesday so that it can be developed as a full-scale museum, the Indian Navy has said."
6 Trapped After Heavy Snowfall In J&K's Udhampur Rescued By Police,"Press Trust of India   | Tuesday January 25, 2022, Jammu","A police team rescued six people trapped in heavy snowfall in Jammu and Kashmir's Udhampur district, officials said today."
"RPN Singh Meets JP Nadda, Amit Shah, Yogi Adityanath In Delhi","Asian News International   | Tuesday January 25, 2022, New Delhi","Soon after joining BJP, former Union Minister RPN Singh met BJP chief JP Nadda, Union Home Minister Amit Shah, and Uttar Pradesh Chief Minister Yogi Adityanath at the party headquarters in the national capital on Tuesday."
"55,475 New Covid Cases In Kerala, Highest Ever In A Day","Press Trust of India   | Tuesday January 25, 2022, Thiruvananthapuram","Kerala reported 55,475 new COVID-19 cases on Tuesday, the highest ever reported from the state in a single day since the outbreak of the pandemic in 2020, taking the total affected to 57,25,086."
No Manipur Chief Minister Pick Yet For BJP But Biren Singh Stands Tall,"Written by Ratnadip Choudhury  | Tuesday January 25, 2022, Imphal","A high-level meet will be held today to decide on BJP candidates for assembly elections in Manipur. Chief Minister N Biren Singh will lead  party's campaign in the northeastern state for the February-March polls, sources in the party have indicated."
Famous Amritsar-Based Conjoined Twins Sohna-Mohna Get Separate Voter ID Cards,"Edited by NDTV News Desk  | Tuesday January 25, 2022, Amritsar","Punjab's famous cojoined twins, Sohan Singh and Mohan Singh, fondly known as Sohna-Mohna, were on Tuesday handed two separate voter cards. They had turned 18 last year."
